section_id,section_name,group_id,group_name,field_id,field_label,field_type,options,description
psych_01,Personal Information,identification,Basic Data,psych_name,What is your name?,text,,
psych_01,Personal Information,identification,Basic Data,psych_age,How old are you?,text,,
psych_01,Personal Information,identification,Basic Data,psych_dob,When were you born?,text,,
psych_01,Personal Information,identification,Basic Data,psych_address,Where do you live?,text,,
psych_01,Personal Information,identification,Basic Data,psych_living_with,Who do you live with?,text,,
psych_01,Personal Information,identification,Basic Data,psych_occupation,What is your occupation? Are you currently working?,text,,

psych_02,Chief Complaint & HPI,hpi_admin,Admission,psych_admitted_when,When were you admitted?,text,,
psych_02,Chief Complaint & HPI,hpi_admin,Admission,psych_admission_reason,Why did you come to the hospital?,textarea,,
psych_02,Chief Complaint & HPI,hpi_admin,Admission,psych_symptoms_most_bothersome,What symptoms are bothering you the most now?,textarea,,

psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_onset_when,When did the problem start?,text,,
psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_onset_type,Sudden or gradual onset?,radio,"sudden|gradual|unclear",
psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_context_at_onset,"What was happening in your life at that time?",textarea,,
psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_development,"How has the problem developed since then?",textarea,,
psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_course,"Are symptoms continuous or episodic?",radio,"continuous|episodic|fluctuating|unclear",
psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_modifiers,"What makes your symptoms better or worse?",textarea,,
psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_function_impact,"How do these symptoms influence your daily functioning?",textarea,,
psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_past_similar,"Did anything similar happen in the past?",radio,"no|yes|unclear",
psych_02,Chief Complaint & HPI,hpi_socrates,History of Present Illness,psych_past_similar_details,If yes - details,textarea,,

psych_03,Mood Spectrum,mood_expansive,Expansive Mood States,psych_mood_manic,Manic mood,checkbox,yes,"Pathologically elevated or irritable mood with increased activity, reduced need for sleep, and impaired judgment."
psych_03,Mood Spectrum,mood_expansive,Expansive Mood States,psych_mood_hypomanic,Hypomanic mood,checkbox,yes,"Mildly elevated or irritable mood with increased energy but without marked functional impairment."
psych_03,Mood Spectrum,mood_expansive,Expansive Mood States,psych_mood_euphoria,Euphoria,checkbox,yes,"Excessive sense of well-being that is not appropriate to the situation."
psych_03,Mood Spectrum,mood_expansive,Expansive Mood States,psych_mood_moria,Moria,checkbox,yes,"Silly, inappropriate cheerfulness with disinhibition and poor social judgment."
