unit_number,unit_name,latin_term,latin_genitive,part_of_speech,gender,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,notes
1,1st A-declension,acnē,acnēs,Noun,feminine,acne,inflammatory skin disease of the sebaceous glands,die Akne,entzündliche Hauterkrankung der Talgdrüsen,akné,zápalové ochorenie mazových žliaz,
1,1st A-declension,"acūtus, acūta, acūtum",,Adjective,,acute,,akut,,akútny,,
1,1st A-declension,ad,,Preposition,,to / into,,zu / in,,k / do,,Acc.
1,1st A-declension,"albus, alba, album",,Adjective,,white,,weiß,,biely,,
1,1st A-declension,"allergicus, allergica, allergicum",,Adjective,,allergic,,allergisch,,alergický,,
1,1st A-declension,anatomia,anatomiae,Noun,feminine,anatomy,,die Anatomie,,anatómia,,
1,1st A-declension,antagonista,antagonistae,Noun,masculine,antagonist,muscle acting in opposite direction to the other muscle,der Antagonist,Muskel mit entgegengesetzter Wirkung,antagonista,sval pôsobiaci opačne k inému svalu,
1,1st A-declension,aorta,aortae,Noun,feminine,aorta,the largest artery,die Aorta,die größte Arterie,aorta,najväčšia tepna,
1,1st A-declension,apertura,aperturae,Noun,feminine,aperture,opening,die Öffnung,,otvor,,
1,1st A-declension,"apertus, aperta, apertum",,Adjective,,open,,offen,,otvorený,,
1,1st A-declension,aqua,aquae,Noun,feminine,water,,das Wasser,,voda,,
1,1st A-declension,"arcuātus, arcuāta, arcuātum",,Adjective,,arch-shaped,,bogenförmig,,oblúkovitý,,
1,1st A-declension,arteria,arteriae,Noun,feminine,artery,,die Arterie,,tepna,,
1,1st A-declension,ascītēs,ascītae,Noun,masculine,ascites,abdominal dropsy,der Aszites,Flüssigkeitsansammlung im Bauchraum,ascites,hromadenie tekutiny v brušnej dutine,
1,1st A-declension,"cavus, cava, cavum",,Adjective,,hollow,,hohl,,dutý,,
1,1st A-declension,"clausus, clausa, clausum",,Adjective,,closed,,geschlossen,,uzavretý,,
1,1st A-declension,"complicātus, complicāta, complicātum",,Adjective,,complicated,,kompliziert,,komplikovaný,,
1,1st A-declension,"congenitus, congenita, congenitum",,Adjective,,congenital / inborn,,angeboren,,vrodený,,
1,1st A-declension,costa,costae,Noun,feminine,rib,,die Rippe,,rebro,,
1,1st A-declension,coxa,coxae,Noun,feminine,hip bone,,der Hüftknochen,,bedrová kosť,,
1,1st A-declension,dentista,dentistae,Noun,masculine,dentist / dental surgeon,,der Zahnarzt,,zubár,,
1,1st A-declension,"distillātus, distillāta, distillātum",,Adjective,,distilled,,destilliert,,destilovaný,,
1,1st A-declension,"dexter, dextra, dextrum",,Adjective,,right (side),,rechts,,pravá (strana),,
1,1st A-declension,diabētēs,diabētae,Noun,masculine,diabetes,a group of metabolic diseases in which there are high blood sugar levels over a prolonged period,der Diabetes,eine Gruppe von Stoffwechselerkrankungen mit langfristig erhöhtem Blutzucker,diabetes,skupina metabolických ochorení s dlhodobo zvýšenou hladinou glukózy v krvi,
1,1st A-declension,diarrhoē,diarrhoēs,Noun,feminine,diarrhea,loose liquid and frequent stools,die Diarrhö,flüssige und häufige Stühle,hnačka,riedka a častá stolica,
1,1st A-declension,diastolē,diastolēs,Noun,feminine,diastole,phase of relaxation of the heart muscle,die Diastole,Relaxationsphase des Herzmuskels,diastola,fáza relaxácie srdcového svalu,
1,1st A-declension,"epidemicus, epidemica, epidemicum",,Adjective,,epidemic,,epidemisch,,epidemický,,
1,1st A-declension,et,,Conjunction,,and,,und,,a,,
1,1st A-declension,"externus, externa, externum",,Adjective,,external,,extern,,vonkajší,,
