muscle_region_en,muscle_region_sk,muscle_region_ge,muscle_category_en,muscle_category_sk,muscle_category_ge,latin_muscle_name,english_muscle_name,muscle_part,innervation,blood_supply,origo,insercio,movement_function
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,Extraokuläre Muskeln,Musculus rectus superior,Superior rectus muscle,,Superior division of oculomotor nerve (CN III),Superior muscular branches of ophthalmic artery,Common tendinous ring (annulus of Zinn),Superior surface of eyeball,"Elevates, adducts, and medially rotates the eyeball"
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,Extraokuläre Muskeln,Musculus rectus inferior,Inferior rectus muscle,,Inferior division of oculomotor nerve (CN III),Inferior muscular branches of ophthalmic artery,Common tendinous ring,Inferior surface of eyeball,"Depresses, adducts, and laterally rotates the eyeball"
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,Extraokuläre Muskeln,Musculus rectus medialis,Medial rectus muscle,,Inferior division of oculomotor nerve (CN III),Medial muscular branches of ophthalmic artery,Common tendinous ring,Medial surface of eyeball,Adducts the eyeball
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,Extraokuläre Muskeln,Musculus rectus lateralis,Lateral rectus muscle,Lacertus musculi recti lateralis (check ligament),Abducens nerve (CN VI),Lateral muscular branches of ophthalmic artery,Common tendinous ring,Lateral surface of eyeball,Abducts the eyeball
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,Extraokuläre Muskeln,Musculus obliquus superior,Superior oblique muscle,Trochlea musculi obliqui superioris,Trochlear nerve (CN IV),Superior muscular branches of ophthalmic artery,Body of sphenoid (above common tendinous ring),Through trochlea to superior lateral eyeball,"Depresses, abducts, and medially rotates the eyeball"
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,Extraokuläre Muskeln,Musculus obliquus inferior,Inferior oblique muscle,,Inferior division of oculomotor nerve (CN III),Infraorbital artery; muscular branches,Anterior medial floor of orbit,Inferior lateral surface of eyeball,"Elevates, abducts, and laterally rotates the eyeball"
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,Extraokuläre Muskeln,Musculus levator palpebrae superioris,Levator palpebrae superioris muscle,,Superior division of oculomotor nerve (CN III),Ophthalmic artery branches,Lesser wing of sphenoid (near optic foramen),Superior tarsal plate of upper eyelid,Elevates upper eyelid
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Superficial muscles of head,Povrchové svaly hlavy,Oberflächliche Kopfmuskeln,Musculus epicranius,Epicranius muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Superficial muscles of head,Povrchové svaly hlavy,Oberflächliche Kopfmuskeln,Musculus occipitofrontalis,Occipitofrontalis muscle,"Venter frontalis,Venter occipitalis",Facial nerve (CN VII),Supraorbital and supratrochlear arteries; occipital artery,"Epicranial aponeurosis (frontal belly), occipital bone (occipital belly)","Skin of forehead (frontal belly), epicranial aponeurosis (occipital belly)",Raises eyebrows and wrinkles forehead
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Superficial muscles of head,Povrchové svaly hlavy,Oberflächliche Kopfmuskeln,Musculus temporoparietalis,Temporoparietalis muscle,,Facial nerve (CN VII),Superficial temporal artery,Auricular muscles,Galea aponeurotica,Tenses galea aponeurotica
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Muscles of mastication,Žuvacie svaly,Kaumuskeln,Musculus masseter,Masseter muscle,,Mandibular branch of trigeminal nerve (CN V3),Masseteric artery (branch of maxillary artery),Zygomatic arch; maxillary process of zygomatic bone,Lateral surface of ramus and angle of mandible,Elevates and protrudes the mandible
