atc_code,atc_name,parent_code,level
A,ALIMENTARY TRACT AND METABOLISM,,1
A01,STOMATOLOGICAL PREPARATIONS,A,2
A02,DRUGS FOR ACID RELATED DISORDERS,A,2
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,2
A04,ANTIEMETICS AND ANTINAUSEANTS,A,2
A05,BILE AND LIVER THERAPY,A,2
A06,DRUGS FOR CONSTIPATION,A,2
A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,2
A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,2
A09,"DIGESTIVES, INCL. ENZYMES",A,2
A10,DRUGS USED IN DIABETES,A,2
A11,VITAMINS,A,2
A12,MINERAL SUPPLEMENTS,A,2
A13,TONICS,A,2
A14,ANABOLIC AGENTS FOR SYSTEMIC USE,A,2
A15,APPETITE STIMULANTS,A,2
A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A,2
A01A,STOMATOLOGICAL PREPARATIONS,A01,3
A02A,ANTACIDS,A02,3
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,3
A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,A02,3
A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,3
A03B,"BELLADONNA AND DERIVATIVES, PLAIN",A03,3
A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,A03,3
A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,A03,3
A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,A03,3
A03F,PROPULSIVES,A03,3
A04A,ANTIEMETICS AND ANTINAUSEANTS,A04,3
A05A,BILE THERAPY,A05,3
A05B,"LIVER THERAPY, LIPOTROPICS",A05,3
A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,A05,3
A06A,DRUGS FOR CONSTIPATION,A06,3
A07A,INTESTINAL ANTIINFECTIVES,A07,3
A07B,INTESTINAL ADSORBENTS,A07,3
A07C,ELECTROLYTES WITH CARBOHYDRATES,A07,3
A07D,ANTIPROPULSIVES,A07,3
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,A07,3
A07F,ANTIDIARRHEAL MICROORGANISMS,A07,3
A07X,OTHER ANTIDIARRHEALS,A07,3
A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08,3
A09A,"DIGESTIVES, INCL. ENZYMES",A09,3
A10A,INSULINS AND ANALOGUES,A10,3
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10,3
A10X,OTHER DRUGS USED IN DIABETES,A10,3
A11A,"MULTIVITAMINS, COMBINATIONS",A11,3
A11B,"MULTIVITAMINS, PLAIN",A11,3
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11,3
A11D,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12",A11,3
A11E,"VITAMIN B-COMPLEX, INCL. COMBINATIONS",A11,3
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",A11,3
A11H,OTHER PLAIN VITAMIN PREPARATIONS,A11,3
A11J,"OTHER VITAMIN PRODUCTS, COMBINATIONS",A11,3
A12A,CALCIUM,A12,3
A12B,POTASSIUM,A12,3
A12C,OTHER MINERAL SUPPLEMENTS,A12,3
A13A,TONICS,A13,3
A14A,ANABOLIC STEROIDS,A14,3
A14B,OTHER ANABOLIC AGENTS,A14,3
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,3
A01AA,Caries prophylactic agents,A01A,4
A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,4
A01AC,Corticosteroids for local oral treatment,A01A,4
A01AD,Other agents for local oral treatment,A01A,4
A02AA,Magnesium compounds,A02A,4
A02AB,Aluminium compounds,A02A,4
A02AC,Calcium compounds,A02A,4
A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",A02A,4
A02AF,Antacids with antiflatulents,A02A,4
A02AG,Antacids with antispasmodics,A02A,4
A02AH,Antacids with sodium bicarbonate,A02A,4
A02AX,"Antacids, other combinations",A02A,4
A02BA,H2-receptor antagonists,A02B,4
A02BB,Prostaglandins,A02B,4
A02BC,Proton pump inhibitors,A02B,4
A02BD,Combinations for eradication of Helicobacter pylori,A02B,4
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02B,4
A03AA,"Synthetic anticholinergics, esters with tertiary amino group",A03A,4
A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",A03A,4
A03AC,"Synthetic antispasmodics, amides with tertiary amines",A03A,4
A03AD,Papaverine and derivatives,A03A,4
A03AE,Serotonin receptor antagonists,A03A,4
A03AX,Other drugs for functional gastrointestinal disorders,A03A,4
A03BA,"Belladonna alkaloids, tertiary amines",A03B,4
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",A03B,4
A03CA,Synthetic anticholinergic agents in combination with psycholeptics,A03C,4
A03CB,Belladonna and derivatives in combination with psycholeptics,A03C,4
A03CC,Other antispasmodics in combination with psycholeptics,A03C,4
A03DA,Synthetic anticholinergic agents in combination with analgesics,A03D,4
A03DB,Belladonna and derivatives in combination with analgesics,A03D,4
A03DC,Other antispasmodics in combination with analgesics,A03D,4
A03EA,"Antispasmodics, psycholeptics and analgesics in combination",A03E,4
A03ED,Antispasmodics in combination with other drugs,A03E,4
A03FA,Propulsives,A03F,4
A04AA,Serotonin (5HT3) antagonists,A04A,4
A04AD,Other antiemetics,A04A,4
A05AA,Bile acids and derivatives,A05A,4
A05AB,Preparations for biliary tract therapy,A05A,4
A05AX,Other drugs for bile therapy,A05A,4
A05BA,Liver therapy,A05B,4
A06AA,"Softeners, emollients",A06A,4
A06AB,Contact laxatives,A06A,4
A06AC,Bulk-forming laxatives,A06A,4
A06AD,Osmotically acting laxatives,A06A,4
A06AG,Enemas,A06A,4
A06AH,Peripheral opioid receptor antagonists,A06A,4
A06AX,Other drugs for constipation,A06A,4
A07AA,Antibiotics,A07A,4
A07AB,Sulfonamides,A07A,4
A07AC,Imidazole derivatives,A07A,4
A07AX,Other intestinal antiinfectives,A07A,4
A07BA,Charcoal preparations,A07B,4
A07BB,Bismuth preparations,A07B,4
A07BC,Other intestinal adsorbents,A07B,4
A07CA,Oral rehydration salt formulations,A07C,4
A07DA,Antipropulsives,A07D,4
A07EA,Corticosteroids acting locally,A07E,4
