english_name,slovak_name,atc_primary,atc_all
sodium fluoride,,A01AA01,A01AA01;A12CD01
sodium monofluorophosphate,,A01AA02,A01AA02;A12CD02
olaflur,,A01AA03,A01AA03
stannous fluoride,,A01AA04,A01AA04
combinations,,A01AA30,A01AA30;A02AA10;A02AB10;A02AC10;A06AG20;A07BC30;A10AB30;A10AC30;A10AD30;A10AE30;A11CC20;B01AC30;B02BC30;B05BA10;B05CA10;B05CB10;B05CX10;C01CA30;D01AA20;D01AE20;G03GA30;G04BE30;J01CA20;J01CE30;J01EB20;J01EC20;J01ED20;J06BB30;J07BC20;N01BB20;N06DX30;R01AX30;R05CA10;R05CB10;R05DA20;R05DB20;R07AA30;S01HA30;S02DA30
"sodium fluoride, combinations",,A01AA51,A01AA51
hydrogen peroxide,,A01AB02,A01AB02;D08AX01;D11AX25;S02AA06
chlorhexidine,,A01AB03,A01AB03;B05CA02;D08AC02;D09AA12;R02AA05;S01AX09;S02AA09;S03AA04
amphotericin B,,A01AB04,A01AB04;A07AA07;G01AA03;J02AA01
polynoxylin,,A01AB05,A01AB05;D01AE05
domiphen,,A01AB06,A01AB06
oxyquinoline,,A01AB07,A01AB07;D08AH03;G01AC30;R02AA14
neomycin,,A01AB08,A01AB08;A07AA01;B05CA09;D06AX04;J01GB05;R02AB01;S01AA03;S02AA07;S03AA01
miconazole,,A01AB09,A01AB09;A07AC01;D01AC02;G01AF04;J02AB01;S02AA13
natamycin,,A01AB10,A01AB10;A07AA03;D01AA02;G01AA02;S01AA10
various,,A01AB11,A01AB11;A01AD11;M02AX10;R01AX10;R02AA20;V01AA20
hexetidine,,A01AB12,A01AB12;G01AX16
tetracycline,,A01AB13,A01AB13;D06AA04;J01AA07;S01AA09;S02AA08;S03AA02
benzoxonium chloride,,A01AB14,A01AB14;D08AJ05
tibezonium iodide,,A01AB15,A01AB15
mepartricin,,A01AB16,A01AB16;D01AA06;G01AA09;G04CX03
metronidazole,,A01AB17,A01AB17;D06BX01;G01AF01;J01XD01;P01AB01
clotrimazole,,A01AB18,A01AB18;D01AC01;G01AF02
sodium perborate,,A01AB19,A01AB19
chlortetracycline,,A01AB21,A01AB21;D06AA02;J01AA03;S01AA02
doxycycline,,A01AB22,A01AB22;J01AA02
minocycline,,A01AB23,A01AB23;D10AF07;J01AA08
octenidine,,A01AB24,A01AB24;R02AA21
oxytetracycline,,A01AB25,A01AB25;D06AA03;G01AA07;J01AA06;S01AA04
chlorhexidine and cetylpyridinium,,A01AB53,A01AB53
triamcinolone,,A01AC01,A01AC01;C05AA12;D07AB09;D07XB02;H02AB08;R01AD11;R03BA06;S01BA05
dexamethasone,,A01AC02,A01AC02;C05AA09;D07AB19;D07XB05;D10AA03;H02AB02;R01AD03;S01BA01;S01CB01;S02BA06;S03BA01
hydrocortisone,,A01AC03,A01AC03;A07EA02;C05AA01;D07AA02;D07XA01;H02AB09;S01BA02;S01CB03;S02BA01
