term_category,latin_translation,latin_gender,latin_declension,latin_genitive,latin_accusative,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,synonyms_en,synonyms_de,synonyms_sk,related_terms,notes,noun,adjective,verb,preposition,phrase
,Abdominalis,,,Abdominalis,Abdominalem,Abdominal,Relating to the abdomen,Bauch,In Bezug auf den Bauch,Brucho,Týkajúce sa brucha,,,,,,0,1,0,0,0
,Abortus,m.,II,Aborti,Abortum,Abortion,Termination of pregnancy,Abtreibung,Beendigung der Schwangerschaft,Potrat,Ukončenie tehotenstva,,,,,,1,0,0,0,0
,Abortus in cursu,,IV,Abortūs in cursu,Abortum in cursu,Ongoing abortion,,Anhaltende Abtreibung,,Priebežné potraty,,,,,,,0,0,0,0,1
,Acidum,n.,II,Acidi,Acidum,Acid,Chemical compound,Säure,Chemische Verbindung,Kyselina,Chemická zlúčenina,,,,,,1,0,0,0,0
,Acidus,m.,II,Acidi,Acidum,Acidic,Having acidic properties,Saur,Saure Eigenschaften haben,Kyslý,Mať kyslé vlastnosti,,,,,,1,0,0,0,0
,Acquisitus,m.,II,Acquisiti,Acquisitum,Acquired,Not congenital,Erworben,Nicht angeboren,Získaný,Nie vrodený,,,,,,1,0,0,0,0
,Acromioclavicularis,,,Acromioclavicularis,Acromioclavicularem,Acromioclavicular,Relating to acromion and clavicle,Akromioklavikular,In Bezug auf Acromion und Schlüsselbein,Akromioklavikulárny,Týkajúce sa akromiónu a kosti,,,,,,0,1,0,0,0
,Acromion,n.,II,Acromii,Acromium,Acromion,Part of the scapula,Akromion,Teil des Schulterblatts,Akromión,Časť lopatky,,,,,,1,0,0,0,0
,Acus,f.,IV,Acūs,Acum,Needle,Sharp pointed instrument,Nadel,Scharfes spitzes Instrument,Štrbina,Ostrý prístroj,,,,,,1,0,0,0,0
,Acutus,m.,II,Acuti,Acutum,Acute,"Sharp, severe",Akut,"Scharf, schwer",Akútny,"Ostré, ťažké",,,,,,1,0,0,0,0
,Ad (Acc.),,,,,"To, Toward",,"Zu, in Richtung",,Do smerom k,,,,,,,0,0,0,1,0
,Adeps,m.,III,Adipis,Adipem,Fat,Lipid substance,Fett,Lipidsubstanz,Tuk,Lipidová látka,,,,,,1,0,0,0,0
,Adipositas,f.,III,Adipositasis,Adipositatem,Adiposity,Obesity condition,Adipositas,Fettleibigkeit,Adipozita,Obozračný stav,,,,,,1,0,0,0,0
,Adiposus,,,Adiposi,Adiposum,Adipose,Relating to fat,Fett,In Bezug auf Fett,Tub,Týkajúce sa tuku,,,,,,0,1,0,0,0
,Aditus,m.,II,Aditi,Aditum,Entrance,Opening or passage,Eingang,Öffnung oder Passage,Vstup,Otváranie alebo priechod,,,,,,1,0,0,0,0
,Adultus,m.,II,Adulti,Adultum,Adult,Fully grown person,Erwachsene,Ausgewachsene Person,Dospelý,Plne dospelý človek,,,,,,1,0,0,0,0
,Aegrotus,m.,II,Aegroti,Aegrotum,Sick person,Ill individual,Kranke,Ill Individuum,Chorý človek,Chorý jednotlivec,,,,,,1,0,0,0,0
,Aequalis,,,Aequalis,Aequalem,Equal,Of the same value,Gleich,Gleichwertig,Rovnaký,Rovnaká hodnota,,,,,,0,1,0,0,0
,Afferens,,,Afferentis,Afferentem,Afferent,Carrying towards,Afferent,Transportieren,Aferentný,Prenášať,,,,,,0,1,0,0,0
,Alaris,,,Alaris,Alarem,Alar,Related to or resembling a wing,Alar,Im Zusammenhang mit oder ähneln einem Flügel,Alar,Súvisí s krídlom alebo pripomínajú,,,,,,0,1,0,0,0
