id,type,latin,language,preferred_term,aliases,status,source_refs
bone_vertebral_column,bone,columna vertebralis,de,Wirbelsäule,,seed_needs_review,terminology_seed_v2.2
bone_sternum,bone,sternum,de,Brustbein,,seed_needs_review,terminology_seed_v2.2
bone_rib,bone,costa,de,Rippe,,seed_needs_review,terminology_seed_v2.2
bone_frontal,bone,os frontale,de,Stirnbein,,seed_needs_review,terminology_seed_v2.2
bone_parietal,bone,os parietale,de,Scheitelbein,,seed_needs_review,terminology_seed_v2.2
bone_occipital,bone,os occipitale,de,Hinterhauptbein,,seed_needs_review,terminology_seed_v2.2
bone_temporal,bone,os temporale,de,Schläfenbein,,seed_needs_review,terminology_seed_v2.2
bone_sphenoid,bone,os sphenoidale,de,Keilbein,,seed_needs_review,terminology_seed_v2.2
bone_ethmoid,bone,os ethmoidale,sk,čuchová kosť,,seed_needs_review,terminology_seed_v2.2
bone_ethmoid,bone,os ethmoidale,de,Siebbein,,seed_needs_review,terminology_seed_v2.2
bone_mandible,bone,mandibula,de,Unterkiefer,,seed_needs_review,terminology_seed_v2.2
bone_maxilla,bone,maxilla,de,Oberkiefer,,seed_needs_review,terminology_seed_v2.2
bone_palatine,bone,os palatinum,sk,podnebná kosť,,seed_needs_review,terminology_seed_v2.2
bone_palatine,bone,os palatinum,de,Gaumenbein,,seed_needs_review,terminology_seed_v2.2
bone_clavicle,bone,clavicula,de,Schlüsselbein,Clavicula,seed_needs_review,terminology_seed_v2.2
bone_scapula,bone,scapula,de,Schulterblatt,Scapula,seed_needs_review,terminology_seed_v2.2
bone_humerus,bone,humerus,de,Oberarmknochen,,seed_needs_review,terminology_seed_v2.2
bone_radius,bone,radius,de,Speiche,,seed_needs_review,terminology_seed_v2.2
bone_ulna,bone,ulna,de,Elle,,seed_needs_review,terminology_seed_v2.2
bone_hip,bone,os coxae,sk,panvová kosť,,seed_needs_review,terminology_seed_v2.2
bone_hip,bone,os coxae,de,Hüftbein,,seed_needs_review,terminology_seed_v2.2
bone_femur,bone,femur,de,Oberschenkelknochen,,seed_needs_review,terminology_seed_v2.2
bone_tibia,bone,tibia,de,Schienbein,Tibia,seed_needs_review,terminology_seed_v2.2
bone_fibula,bone,fibula,de,Wadenbein,Fibula,seed_needs_review,terminology_seed_v2.2
bone_patella,bone,patella,sk,jabĺčko,patela,seed_needs_review,terminology_seed_v2.2
bone_patella,bone,patella,de,Kniescheibe,Patella,seed_needs_review,terminology_seed_v2.2
joint_atlanto_occipital,joint,articulatio atlantooccipitalis,sk,atlantookcipitálny kĺb,,seed_needs_review,terminology_seed_v2.2
joint_atlanto_occipital,joint,articulatio atlantooccipitalis,de,oberes Kopfgelenk,,seed_needs_review,terminology_seed_v2.2
joint_atlanto_axial,joint,articulatio atlantoaxialis,sk,atlantoaxiálny kĺb,,seed_needs_review,terminology_seed_v2.2
joint_atlanto_axial,joint,articulatio atlantoaxialis,de,unteres Kopfgelenk,,seed_needs_review,terminology_seed_v2.2
joint_shoulder,joint,articulatio glenohumeralis,sk,ramenný kĺb,,seed_needs_review,terminology_seed_v2.2
joint_shoulder,joint,articulatio glenohumeralis,de,Schultergelenk,,seed_needs_review,terminology_seed_v2.2
joint_elbow,joint,articulatio cubiti,sk,lakťový kĺb,,seed_needs_review,terminology_seed_v2.2
joint_elbow,joint,articulatio cubiti,de,Ellenbogengelenk,,seed_needs_review,terminology_seed_v2.2
joint_hip,joint,articulatio coxae,sk,bedrový kĺb,,seed_needs_review,terminology_seed_v2.2
joint_hip,joint,articulatio coxae,de,Hüftgelenk,,seed_needs_review,terminology_seed_v2.2
joint_knee,joint,articulatio genus,sk,kolenný kĺb,,seed_needs_review,terminology_seed_v2.2
joint_knee,joint,articulatio genus,de,Kniegelenk,,seed_needs_review,terminology_seed_v2.2
artery_aorta,artery,aorta,sk,aorta,srdcovnica,seed_needs_review,terminology_seed_v2.2
artery_aorta,artery,aorta,de,Aorta,,seed_needs_review,terminology_seed_v2.2
artery_pulmonary_trunk,artery,truncus pulmonalis,de,Lungenstamm,Truncus pulmonalis,seed_needs_review,terminology_seed_v2.2
artery_right_coronary,artery,arteria coronaria dextra,sk,pravá vencovitá tepna,,seed_needs_review,terminology_seed_v2.2
artery_right_coronary,artery,arteria coronaria dextra,de,rechte Herzkranzarterie,,seed_needs_review,terminology_seed_v2.2
artery_left_coronary,artery,arteria coronaria sinistra,sk,ľavá vencovitá tepna,,seed_needs_review,terminology_seed_v2.2
artery_left_coronary,artery,arteria coronaria sinistra,de,linke Herzkranzarterie,,seed_needs_review,terminology_seed_v2.2
artery_common_carotid,artery,arteria carotis communis,sk,spoločná krčnica,,seed_needs_review,terminology_seed_v2.2
artery_common_carotid,artery,arteria carotis communis,de,gemeinsame Halsschlagader,,seed_needs_review,terminology_seed_v2.2
artery_internal_carotid,artery,arteria carotis interna,sk,vnútorná krčnica,,seed_needs_review,terminology_seed_v2.2
artery_internal_carotid,artery,arteria carotis interna,de,innere Halsschlagader,,seed_needs_review,terminology_seed_v2.2
artery_external_carotid,artery,arteria carotis externa,sk,vonkajšia krčnica,,seed_needs_review,terminology_seed_v2.2
artery_external_carotid,artery,arteria carotis externa,de,äußere Halsschlagader,,seed_needs_review,terminology_seed_v2.2
artery_subclavian,artery,arteria subclavia,sk,podkľúčna tepna,,seed_needs_review,terminology_seed_v2.2
artery_subclavian,artery,arteria subclavia,de,Unterschlüsselbeinarterie,,seed_needs_review,terminology_seed_v2.2
artery_axillary,artery,arteria axillaris,sk,podpazušná tepna,,seed_needs_review,terminology_seed_v2.2
artery_axillary,artery,arteria axillaris,de,Achselarterie,,seed_needs_review,terminology_seed_v2.2
artery_brachial,artery,arteria brachialis,sk,ramenná tepna,,seed_needs_review,terminology_seed_v2.2
artery_brachial,artery,arteria brachialis,de,Oberarmarterie,,seed_needs_review,terminology_seed_v2.2
artery_radial,artery,arteria radialis,sk,vretenná tepna,,seed_needs_review,terminology_seed_v2.2
artery_radial,artery,arteria radialis,de,Speichenarterie,,seed_needs_review,terminology_seed_v2.2
