noun,adjective,verb,preposition,phrase,latin_translation,genitive,accusative,gender,declination,english_translation,english_definition,german_translation,slovak_translation,german_definition,slovak_definition,spanish_translation,spanish_definition,norvegian_translation,norwegian_definition,icelandic_translation,icelandic_definition
0,1,0,0,0,Abdominalis,Abdominalis,Abdominalem,,,Abdominal,Relating to the abdomen,Bauch,Brucho,In Bezug auf den Bauch,Týkajúce sa brucha,Abdominal,Relacionado con el abdomen,Abdominal,Relatert til magen,Kviðarhol,Sem tengjast kviðnum
0,1,0,0,0,Abducens,Abdūcentis,Abdūcentem,,,Abducens,Cranial nerve responsible for eye abduction,Abducens,Uniesť,"Hirnnerv, die für die Augenentführung verantwortlich ist",Kraniálny nerv zodpovedný za únos očí,Abducens,Nervio craneal responsable de la secuestro de ojos,Abducens,Kraniell nerve som er ansvarlig for bortføring av øyne,Abducens,Cranial taug sem ber ábyrgð á brottnám auga
1,0,0,0,0,Abductor,Abductoris,Abductorem,m.,3rd,Abductor,A muscle that moves a limb away from the midline of the body,Entführer,Únosca,"Ein Muskel, der eine Gliedmaßen von der Mittellinie des Körpers entfernt","Sval, ktorý sa pohybuje končatinou od stredovej línie tela",Secuestrador,Un músculo que aleja una extremidad de la línea media del cuerpo,Abductor,En muskel som beveger en lem bort fra kroppens midtlinje,Rænt,Vöðvi sem færir útlim frá miðlínu líkamans
1,0,0,0,0,Abortus,Aborti,Abortum,m.,2nd,Abortion,Termination of pregnancy,Abtreibung,Potrat,Beendigung der Schwangerschaft,Ukončenie tehotenstva,Aborto provocado,Terminación del embarazo,Abort,Avslutning av graviditet,Fóstureyðingar,Uppsögn meðgöngu
0,0,0,0,1,Abortus in cursu,Abortūs in cursu,Abortum in cursu,,4th,Ongoing abortion,,Anhaltende Abtreibung,Priebežné potraty,,,Aborto en curso,,Pågående abort,,Áframhaldandi fóstureyðingar,
1,0,0,0,0,Abscessus,Abscessūs,Abscessum,m.,4th,Abscess,Localized pus collection,Abszess,Absces,Lokalisierte PUS -Sammlung,Lokalizovaná zbierka hnisov,Absceso,Colección de pus localizada,Abscess,Lokalisert Pus -samling,Ígerð,Staðbundið pus safn
0,1,0,0,0,Accessorius,Accessōrii,Accessōrium,,,Accessory,An accessory or supporting structure,Zubehör,Príslušenstvo,Ein Zubehör oder eine unterstützende Struktur,Príslušenstvo alebo podporná štruktúra,Accesorio,Un accesorio o estructura de soporte,Tilbehør,Et tilbehør eller støttende struktur,Aukabúnaður,Aukabúnaður eða stoðskipulag
1,0,0,0,0,Acidum,Acidi,Acidum,n.,2nd,Acid,Chemical compound,Säure,Kyselina,Chemische Verbindung,Chemická zlúčenina,Ácido,Compuesto químico,Syre,Kjemisk forbindelse,Sýru,Efnasamband
1,0,0,0,0,Acidus,Acidi,Acidum,m.,2nd,Acidic,Having acidic properties,Saur,Kyslý,Saure Eigenschaften haben,Mať kyslé vlastnosti,Ácido,Tener propiedades ácidas,Sur,Har sure egenskaper,Súrt,Hafa súr eiginleika
1,0,0,0,0,Acne,Acneis,Acnem,f.,3rd,Acne,Inflammatory skin disease,Akne,Akné,Entzündliche Hautkrankheit,Zápalové ochorenie kože,Acné,Enfermedad inflamatoria de la piel,Akne,Inflammatorisk hudsykdom,Unglingabólur,Bólgusjúkdómur
1,0,0,0,0,Acquisitus,Acquisiti,Acquisitum,m.,2nd,Acquired,Not congenital,Erworben,Získaný,Nicht angeboren,Nie vrodený,Adquirido,No congénito,Ervervet,Ikke medfødt,Keypt,Ekki meðfætt
0,1,0,0,0,Acromioclavicularis,Acromioclavicularis,Acromioclavicularem,,,Acromioclavicular,Relating to acromion and clavicle,Akromioklavikular,Akromioklavikulárny,In Bezug auf Acromion und Schlüsselbein,Týkajúce sa akromiónu a kosti,Acromioclavicular,Relacionado con acromion y clavícula,Akromioklavikulær,Relatert til akromion og krageben,Acromioclavicular,Sem tengjast Acromion og Clavicle
1,0,0,0,0,Acromion,Acromii,Acromium,n.,2nd,Acromion,Part of the scapula,Akromion,Akromión,Teil des Schulterblatts,Časť lopatky,Acromion,Parte de la escápula,Acromion,En del av scapula,Acromion,Hluti af scapula
